logFC	logCPM	LR	PValue	FDR
ENSRNOT00000075397	-2.03182560437923	10.4433484161418	703.724323660615	4.63263993706534e-155	1.2507201302089e-150
ENSRNOT00000007356	1.79047230691687	7.84919373661673	187.994671361015	8.71089729975964e-43	1.17588402649455e-38
ENSRNOT00000041808	0.812474170134673	9.08841478582789	92.5857964974234	6.44684572529206e-22	5.80173136304783e-18
ENSRNOT00000013496	-0.80713375586577	7.91113979031942	64.5626711084397	9.3510248256032e-16	6.31147420604088e-12
ENSRNOT00000001299	0.86411814895634	7.4785906067586	57.857456025647	2.81816758290083e-14	1.52169776806313e-10
ENSRNOT00000002293	9.73859184305401	2.41071776513722	55.0105825357768	1.19882607429046e-13	5.39431772561566e-10
ENSRNOT00000023554	-1.02556049920009	6.54284925073226	53.7157438413039	2.31699084781421e-13	8.93630270132688e-10
ENSRNOT00000107803	0.729404357931241	7.66577948527609	47.2674724640694	6.1931459621056e-12	2.09003193356159e-08
ENSRNOT00000027520	1.4526475010606	5.41906688987968	45.2861910618735	1.70245277902206e-11	4.81501652825709e-08
ENSRNOT00000024072	0.92010972853757	7.31284997574687	45.1951396683035	1.78347156391477e-11	4.81501652825709e-08
ENSRNOT00000009233	-0.769456578919888	7.76869648692099	43.9399873666527	3.38600052227758e-11	8.27076308403518e-08
ENSRNOT00000020297	1.76855517671005	4.57577619085704	43.7790631577573	3.67616701268324e-11	8.27076308403518e-08
ENSRNOT00000027756	-0.719652786911973	7.60995949160462	43.5040793871262	4.230765120169e-11	8.78632282417866e-08
ENSRNOT00000099193	0.718325543820308	8.04005187878385	36.5431320372734	1.49325171449398e-09	2.8796292705649e-06
ENSRNOT00000112242	-1.28781780877184	6.33576808397566	35.0954990814294	3.13925552493232e-09	5.65024137747485e-06
ENSRNOT00000009985	-0.563039460639464	7.94463935219202	33.6078011055648	6.74217847487064e-09	1.13765834040348e-05
ENSRNOT00000022389	-1.05258324820943	6.87176994201393	33.0566521825531	8.95122678925074e-09	1.42156012268348e-05
ENSRNOT00000010645	0.700494449373047	7.22552850458432	32.566545778158	1.15180376808706e-08	1.72757767393414e-05
ENSRNOT00000023535	0.667638940920435	8.10923612441414	30.4791800863838	3.37468849208979e-08	4.7952547320758e-05
