"GeneID","ensembl_gene_id","ENTREZID","logFC","logCPM","LR","FDR"
"ENSRNOT00000055633","ENSRNOG00000000001","311013",0.743183037159095,-0.239716888769035,0.350584588353325,1
"ENSRNOT00000000008","ENSRNOG00000000007","24379",-0.00694287592595394,5.44631881525167,0.00124745155920269,1
"ENSRNOT00000084375","ENSRNOG00000000007","24379",-1.89783427681494,0.697362035478338,1.11735048282353,0.921729752179003
"ENSRNOT00000000011","ENSRNOG00000000010","498922",-0.0451722369607469,2.85951717787146,0.00648229286321822,1
"ENSRNOT00000000022","ENSRNOG00000000021",NA,-0.541090158233093,-0.903222084758996,0.0110287713033079,1
"ENSRNOT00000000036","ENSRNOG00000000033","305095",-0.312956707448163,6.01972543851175,3.02092814893305,0.517402356970932
"ENSRNOT00000100441","ENSRNOG00000000033","305095",-2.14632798201382,-0.767463991824262,0.1655704306596,1
"ENSRNOT00000104946","ENSRNOG00000000033","305095",5.9728772781498,0.182576748276729,3.20135153633315,0.49084353825494
"ENSRNOT00000000039","ENSRNOG00000000034","289419",-2.16170595682831,1.58558690790945,5.9401641818415,0.213212743172352
"ENSRNOT00000000041","ENSRNOG00000000036","305096",-0.182327558823512,7.35215206970429,3.48893295928961,0.449615288808346
"ENSRNOT00000093726","ENSRNOG00000000040","305101",0.882441960681594,0.0451387510796591,0.252992021574613,1
"ENSRNOT00000000047","ENSRNOG00000000041","64076",-0.706751305139413,1.11396043051178,0.26800927741408,1
"ENSRNOT00000111929","ENSRNOG00000000041","64076",1.46087412120582,0.57252942218963,0.213682285123223,1
"ENSRNOT00000081892","ENSRNOG00000000042","289424",0.277093597839341,3.87785630702808,0.0571976485368921,1
"ENSRNOT00000108645","ENSRNOG00000000042","289424",1.04928286482268,0.624235501234883,0.17286463251504,1
"ENSRNOT00000093410","ENSRNOG00000000042","289424",-2.48856875470162,1.61803554405292,1.06539001473185,0.939734565922911
"ENSRNOT00000000049","ENSRNOG00000000042","289424",0.34466092056603,2.22861954181541,0.0370889818721238,1
"ENSRNOT00000113923","ENSRNOG00000000042","289424",0.0767232038075555,2.15512933037649,0.00228601460221967,1
"ENSRNOT00000000048","ENSRNOG00000000043","360904",-0.771707126551696,4.90246303536295,9.00149353600585,0.0763412485409026
